Komentar,Nama Pengguna,Rating,Tanggal,Nama Aplikasi,Sentimen
"pengen banget main game nya,tapi device ga mumpuni,sedih banget🥲🥲🥲",for you,5,2025-04-10 10:44:41,Honkai Star Rail,Positif
gausah ikut ikutan fomo rate b1 biar apa? . jelas jelas game free main tinggal main. kalau soal kalah ya itu kalian aja cupu,Toti And Thetot,5,2025-04-10 10:35:44,Honkai Star Rail,Positif
meski bukan masterpiece tapi NiCE,Sgamers,4,2025-04-10 10:34:33,Honkai Star Rail,Positif
Game nya bagus banget banyak karakter cantik udah itu aja,Jaisan.ikraman 17,5,2025-04-10 10:32:22,Honkai Star Rail,Positif
game nya bagus yang ngasih b1 skill isu,STARBOY !!,5,2025-04-10 10:20:29,Honkai Star Rail,Positif
banyak hadiah gratis yang berguna dan mudah di dapatkan,Syafii Adri,5,2025-04-10 10:06:57,Honkai Star Rail,Positif
"Sehat"" game baik, kalo bisa tambahin fitur ganti baju 🥰🥰🥰",Aan,5,2025-04-10 10:06:32,Honkai Star Rail,Positif
"hard pity, f2p, pity 81 dapet seele, belum ambil lc, material castorice dah jadi, nyesek sumpah",Arina Dwi Lestari 02,1,2025-04-10 10:05:34,Honkai Star Rail,Negatif
"Game RPG turn-based yang solid dan sangat menghibur. Grafisnya memang memukau dan memberikan pengalaman visual yang menyenangkan. Alur ceritanya menarik dan mampu membuat pemain penasaran untuk terus mengikuti perkembangannya namun kebanyakan yappingnya. Sistem pertarungannya cukup strategis dan menawarkan kedalaman taktis yang baik, meskipun mungkin terasa familiar bagi pemain game sejenis. Karakter-karakternya memiliki desain yang menarik dan beragam.",2KA32_M. Galih Pratama Putra,5,2025-04-10 10:03:21,Honkai Star Rail,Positif
bagus sangad membuat saya sigma,Hilwana Kz,5,2025-04-10 09:59:46,Honkai Star Rail,Positif
GOOD,Fikri Fahrudin,5,2025-04-10 09:59:16,Honkai Star Rail,Positif
game baik,ReGGa Kusdana,5,2025-04-10 09:56:45,Honkai Star Rail,Positif
good,Andraa,5,2025-04-10 09:56:24,Honkai Star Rail,Positif
aku suka firefly/Hotaru dan juga castorice,kiaa,5,2025-04-10 09:55:56,Honkai Star Rail,Positif
asik banget game nya banyak misi yang bisa di selesai kan dan semua nya seru seru,Anindita Putri,5,2025-04-10 09:45:14,Honkai Star Rail,Positif
"seru, characternya keren semua desainnyaa, questnya jg seru semua, cara dapetin stellar jade jg gampang",Garneta Anjani,5,2025-04-10 09:44:15,Honkai Star Rail,Positif
overall bagus tapi karakter sama tempat nya nge glich padahal baru ganti hp,Lintar Natan Rizulah Pratama,3,2025-04-10 09:30:30,Honkai Star Rail,Netral
lebih bagus dari pada genshin!!!,Izzati Ilma,1,2025-04-10 09:28:17,Honkai Star Rail,Negatif
👍,ma faza,5,2025-04-10 09:25:30,Honkai Star Rail,Positif
keren gamenya apa lagi ad Waifu baru 🥰🥰😍,Ilham Cuy,5,2025-04-10 09:20:35,Honkai Star Rail,Positif
"Game nya bagus secara keseluruhan, game nya lumayan enteng buat dimainin jadi gak perlu hp spek tinggi buat mainin HSR. Terus juga ini game gak terlalu banyak buang waktu jadi aman bagi kalian yang sibuk, terlebih story dan gameplay nya yang seru buat diikutin. HSR juga banyak bansos walaupun ada powercreep, tapi itu wajar sih... kalau gak gitu game gak dapet penghasilan. Sekian dariku, maaf kalau ada kesalahan.",ArJuan Prasetya,5,2025-04-10 09:18:06,Honkai Star Rail,Positif
Honkai still Honkai...,Sharista Eyou,3,2025-04-10 09:16:41,Honkai Star Rail,Netral
game play nya udh bagus dan smooth juga,Arka Bentang,5,2025-04-10 09:13:05,Honkai Star Rail,Positif
"semenjak update kemarin, optimisasi nya jadi kurang, di dalem battle sering freeze padahal sebelum update blm pernah terjadi,dan dari segi grafik sebelum nya rata kanan saya turunin masih tetap terjadi layar freeze mohon untuk perbaikan nya.",Editor Gaming,2,2025-04-10 09:12:10,Honkai Star Rail,Negatif
"walau jarang main, tapi aku sayang ni game!! (STOP FOMO PLS KALO GA MAIN!!)",Dinar Shofiana,5,2025-04-10 09:07:57,Honkai Star Rail,Positif
"Game baik, pasti sukses😁",Rio Darmawansyah Lubis,1,2025-04-10 09:03:57,Honkai Star Rail,Negatif
"ok lah , cuma utk kedepan buat developer , klw bisa di ringan kan lah spesifikasinya kasian banyak player yang hp kentang tapi kepengen ikut main hsr",Diny Fajriati,5,2025-04-10 08:57:56,Honkai Star Rail,Positif
gameplay udh mendingan terima kasih pihak mihoyo sudah mendengarkan saran kami,Aji Darmawan D.,5,2025-04-10 08:57:32,Honkai Star Rail,Positif
yang b1 itu skill issue + device issue apa gmn😹,Na Krisna,5,2025-04-10 08:52:43,Honkai Star Rail,Positif
"Saya cukup puas dengan gim ini. Dimulai dari grafis, cerita, acara (event), semuanya betul-betul dimasak dengan mantap. Ditambah lagi, karakter terbaru Castorice benar-benar overpower untuk sekarang. Main pun sangat lancar di ponselku! Kalian harus mencoba gim ini sih, worth it parah!",Arial Fella,5,2025-04-10 08:48:36,Honkai Star Rail,Positif
"""I really like this game, hopefully this game can continue to develop in the future ""I love Honkai Star Rail""",Via,5,2025-04-10 08:19:03,Honkai Star Rail,Positif
