Komentar,Nama Pengguna,Rating,Tanggal,Nama Aplikasi,Sentimen
"Beberapa menit yang lalu gempa di sumbar, tp aplikasi tidak ada memberikan info juga di sosmed",Haycel Muhammad Rafly,1,2024-05-26 03:59:10,InfoBMKG,Negatif
Sangat Bagus 👍,Senses,5,2024-05-24 02:50:08,InfoBMKG,Positif
Saran lebih baik pake yang versi web nya,Mujianto,3,2024-05-23 09:29:53,InfoBMKG,Netral
Aplikasi ini sangat berguna untuk mengetahui dimna gempa.,Asila Illa,4,2024-05-22 15:54:07,InfoBMKG,Positif
MANTAP,Anggna Syahptra,5,2024-05-21 21:02:14,InfoBMKG,Positif
Ok,Lukman hadi Hadi,5,2024-05-21 16:58:45,InfoBMKG,Positif
App....,Agus Siswanto,5,2024-05-21 12:49:10,InfoBMKG,Positif
"Aplikasinya sudah sangat bagus bisa tahu kapan terjadinya gempa ,semoga kedepan nya lebih bagus lagi dan banyak fitur yang lain yang bermanfaat lagi ... semoga ada alaram sebelum gempa terjadi juga biar persiapan .. 🙂🙂🙂",Dede Solihah,5,2024-05-20 17:56:23,InfoBMKG,Positif
gempa ya panawangan,Fadil Arofi,5,2024-05-20 08:44:42,InfoBMKG,Positif
Bagus tapi informasi nya terlbat,Anissa Shafarillah,5,2024-05-17 20:07:54,InfoBMKG,Positif
Tertulis cuaca cerah setu tangsel jam 3 sore tgl 17 mei 2024 ternyata hujan. Apk bmkg tolol.,Sarah Ayudia,1,2024-05-17 08:08:02,InfoBMKG,Negatif
"Setelah update notifikasi cuaca buruk malah di hilangkan, sisa notifikasi gempa gak bener",Septian Hiuuga,4,2024-05-17 07:28:12,InfoBMKG,Positif
"aplikasi udah bagus, tapi coba di ubah lagi seperti di Jepang. Sebelum gempa udah ada sirine untuk semua harus keluar dari dalam rumah, atau gak bisalah pas gempa langsung bunyi itu peringatannya.Mungkin bisa membantu saat gempa pas tengah malam, smoga ada peningkatannya🙏, u*ng 271 T pdahal cukup loh buat yg gini",Aisha Azkia,4,2024-05-16 21:18:07,InfoBMKG,Positif
Bagus,Feri degel981,5,2024-05-15 14:49:41,InfoBMKG,Positif
Sangat berguna untuk kita semua,Yudhistira Nugraha,5,2024-05-15 07:49:33,InfoBMKG,Positif
Terlambat Pemberitahuan nya,Adi Untung,1,2024-05-14 12:46:16,InfoBMKG,Negatif
Tolong dalam notifikasi dikasih info dekat pulau besar mana. Tidak semua orang hapal nama kota atau desa terpencil. Ini bukan tebak kuis one millioner,handi halim,3,2024-05-14 08:17:00,InfoBMKG,Netral
Info nya benar,Ipang Zhivan,5,2024-05-13 08:57:03,InfoBMKG,Positif
Sangat bermanfaat sekali,januarius nahak,5,2024-05-13 01:37:58,InfoBMKG,Positif
Info BMKG Aplikasi Terbaik 💯,Ahmad Rifai,5,2024-05-12 18:06:38,InfoBMKG,Positif
Aplikasi yang sangat-sangat berguna untuk mendapatkan informasi apa yang terjadi ada gempa sangat-sangat berguna sekali,Temonhokimoto@gmail.com Hokimoto,5,2024-05-11 12:48:12,InfoBMKG,Positif
"Fiturnya sih lumayan,tumben pemerintah bikin aplikasi seniat ini.",Dedelight Halim,4,2024-05-11 04:30:44,InfoBMKG,Positif
Berguna yang sering travel,ratex inter,5,2024-05-10 23:27:57,InfoBMKG,Positif
"Bmkg bego lelet amat ngasih info gempa lebih setengah jam blm keluar notifikasi gempa nya ,bego",Fanselepet,2,2024-05-10 15:28:00,InfoBMKG,Negatif
Iaut selatan jawa tenga.,Oppo Solo,1,2024-05-09 12:59:05,InfoBMKG,Negatif
Makasih bmkg kalau ujan lihat apk ni kalau ada bencana langsung siap siaga,faklox,5,2024-05-09 12:43:17,InfoBMKG,Positif
Lebih akurat,Ujang Nanang,5,2024-05-09 07:18:46,InfoBMKG,Positif
terimakasih atas kerja keras kalian🙏🏻💐 mohon agar aplikasi selalu ditingkatkan ya kak 🧚🏻‍♀️ 😊 tolong tambahkan fitur setting notifnya.. di hp sy ng bunyi notifnya 🙏🏻,Sleepy Cat,5,2024-05-08 22:00:25,InfoBMKG,Positif
Aplikasi is the bas,Way Way,5,2024-05-07 22:53:51,InfoBMKG,Positif
Bagus,Rahman Hakim,5,2024-05-07 22:33:38,InfoBMKG,Positif
Bagus sih bisa liat cuaca dan gempa,Maya Dwiantisa,5,2024-05-07 21:06:19,InfoBMKG,Positif
ngebug bejir baru aja download,Cantika27,1,2024-05-07 13:02:40,InfoBMKG,Negatif
Tolong untuk dikasih pemberitahuan secara real-time di notifikasi android supaya tau. Tidak usah membuka aplikasi,MAMAS AL FARIZ,3,2024-05-07 03:44:32,InfoBMKG,Netral
Memberikan informasi ter update tentang gempa,Hari Suwanto,5,2024-05-07 01:18:16,InfoBMKG,Positif
Tambahkan alarm peringatan untuk mendeteksi adanya gempa,Dody Prasetyo,4,2024-05-06 02:12:44,InfoBMKG,Positif
Sy suka aplikasi ini lebih cepat mengetahui keadaan diluar daerah sy trimakasih,Sugiharto Sugik,5,2024-05-05 22:38:14,InfoBMKG,Positif
"Apk nya sebenernya bagus, cuma notif nya agak telat, Agak kaget juga sih tiap jam pasti ada gempa",Rian Amelia,5,2024-05-05 19:31:42,InfoBMKG,Positif
Aplikasinya okey mantap 👍,Selebes Jpt,5,2024-05-04 08:05:52,InfoBMKG,Positif
Sangat membantu,nuralisha aqila,5,2024-05-01 15:56:27,InfoBMKG,Positif
Mantap betul.,Agung Pramudya.,5,2024-05-01 05:00:47,InfoBMKG,Positif
Aplikasinya bagus sangat membantu,Odhe kelu,5,2024-05-01 04:54:35,InfoBMKG,Positif
"Kebuka nya lama banget, kadang force close, optimalkan lagi ya min buat di android 14",Shandy F,4,2024-05-01 03:39:54,InfoBMKG,Positif
Update gempa nya lama bgt lebih dari 10 menit,Ani Sumarni,2,2024-05-01 03:31:51,InfoBMKG,Negatif
"Boro-boro kaya korea ada peringatan dini, inimah gempa udah lama baru muncul notif, duh konoha",Erna Nopitasari,1,2024-05-01 03:09:22,InfoBMKG,Negatif
"Sangat bermanfaat, dan akan lebih baik lagi kalau dibuatkan fitur widget agar lebih mudah melihat informasi terupdate",Faqih Izzulhaq,5,2024-04-30 23:33:45,InfoBMKG,Positif
"Di harap kan App ini bisa menjadi tanda alarm saat tr deteksi gempa atau tsunami, jadi saat tidur dia bisa bunyi Berguna buat yg tidur nya kya bruang madu",Mey Zii Pey,3,2024-04-29 18:32:22,InfoBMKG,Netral
Bagus banget sangat membantu saya,Heri Her,5,2024-04-29 14:31:09,InfoBMKG,Positif
Sangat membantu sy sbg nelayan,La ode Wahyudin,5,2024-04-29 10:31:51,InfoBMKG,Positif
oke,Khanif Udin,5,2024-04-28 14:53:32,InfoBMKG,Positif
Baik,Nur Janah,4,2024-04-28 14:19:35,InfoBMKG,Positif
Sangatt membantu sekali...,Ijal Lutfi,5,2024-04-28 11:04:13,InfoBMKG,Positif
Aplikasi ini sangat bagus bahkan ada gempa bumi hari Sabtu dan aplikasi yang mencari kecamatannya dan prakiraan cuaca lagi sangat bagus,Maryani Neng,5,2024-04-28 08:04:34,InfoBMKG,Positif
Awalnya aku ragu dengan aplikasi in... tpi setelah aku coba ternyata sangat berguna sekarang aku jadi tau dimana lokasi kejadiannya gempa..mantul..👍👍👍,Yudi Setiawan,5,2024-04-28 06:22:33,InfoBMKG,Positif
"MIN TAMBAHIN ALARM GEMPA KAYAK DIJEPANG, ANTI SIPASI DARI MASYARAKAT MEREKA GERCEP UNTUK MENYELAMATKAN DIRI",GUNALA 12,5,2024-04-28 05:00:46,InfoBMKG,Positif
Aplikasi ini sangat bagus sekali,ARKAN RAUSYAN ASHSHIDDIQ,5,2024-04-28 03:15:29,InfoBMKG,Positif
aplikasi yg bagus,Rori Manik,5,2024-04-28 01:42:36,InfoBMKG,Positif
seharusnya info sblm terjadi. 1 menit sblm terjadi. Ini malah setelah terjadi setelah 2 menit Tolong update kedepannya seperti itu,Dela Adel,4,2024-04-28 01:40:12,InfoBMKG,Positif
"Seharusnya kalau ada gempa/tsunami di aplikasi ini ada peringatan gempa seperti mendapatkan notifikasi peringatan semua ponsel , Jadi bisa waspada.",Aldi Saputra,5,2024-04-28 01:34:36,InfoBMKG,Positif
Melihat info,Frozz sj,5,2024-04-28 00:01:00,InfoBMKG,Positif
"Kurang update notifikasi nya, contoh gempa jam 11.30, notifikasi baru muncul jam 11.50, padahal internet lancar, dan kadang notifikasi nya numpuk.",Dias Indra,4,2024-04-27 20:57:31,InfoBMKG,Positif
Coba kasih fitur peringatan alarm ketika ada Gempa sehingga mengurangi hal hal yang tidak diinginkan.,Hermansyah 2M,5,2024-04-27 16:55:34,InfoBMKG,Positif
Pemberitahuan tergolong cepat,N Rahmaw,5,2024-04-27 16:53:03,InfoBMKG,Positif
Manfaat 👌,Rio 1899,5,2024-04-27 16:48:28,InfoBMKG,Positif
"Sudah bagus, tapi bisa gk ya kalo peringatannya itu 1-2 menit sebelum terjadi gempa? Karna kadang notifnya telat masuk. Dan jauh lebih baik kalau sudh ada peringatan lebih dahulu untuk evakuasi",Afifah Nur Aini_13,4,2024-04-27 16:46:11,InfoBMKG,Positif
"Mohon pihak bmkg tambah fitur peringatan gempa ,atau suara sirine dll yang bisa di atur",Ardi,5,2024-04-27 16:41:37,InfoBMKG,Positif
ok,Faisal Nugraha,5,2024-04-27 16:39:19,InfoBMKG,Positif
Cukup membantu untuk impormasi bencana daerah dan negara negara lain,Ujang Ahmad zaenal,5,2024-04-27 16:36:32,InfoBMKG,Positif
"Lekas selalu di perbaiki dan di rawat perlengkapan di lapangannya juga ya . Btw sekarang notif dan EWS nya telat parah sumpah diatas 2menit , kok bisa ya?",Ikhsan Maulana,5,2024-04-27 16:35:43,InfoBMKG,Positif
Mantap,Syaiful Rahman,5,2024-04-27 07:53:02,InfoBMKG,Positif
"Akhir akhir ini infonya tidak tepat, untuk info gempa bumi tunggu sampai 30 menit baru diupdate, mau tahu lokasi dan ukuran gempa yg dirasakan terpaksa harus nanyak di grub fb dan di fb pun belum tentu langsung dapat jawaban. Untuk info cuaca dilokasi lagi cerah panas tapi di aplikasi ditulis saat ini sedang hujan, apalagi untuk perkiraan cuaca yg untuk seminggu gak akurat. Trus apa gunanya aplikasi ini?",Mohammad Nadzri,1,2024-04-26 12:49:41,InfoBMKG,Negatif
Sangat tidak akurat,insun insan,1,2024-04-26 02:54:11,InfoBMKG,Negatif
Sangat membantu memprediksi cuaca setiap harinya,agus Elias,5,2024-04-22 22:56:57,InfoBMKG,Positif
"Haduh prakiraan nya ga akurat..ketika hujan , di aplikasi malah cerah.sebaliknya ketika di aplikasi cerah,,padahal hujan deras..Ni prakiraan cuaca nya kyk aplikasi mainan anak2.",arsyadi acadz,1,2024-04-22 08:58:55,InfoBMKG,Negatif
"Barusan aja ada gempa, eh ga ada notifikasi. Sekarang udah 10 menit pasca gempa, di aplikasi sama sekali ga kelihatan. Jadi aplikasi ini buat apa? Tutup aja servernya sekalian.",Nayasa Rumah Gadang,1,2024-04-22 06:16:27,InfoBMKG,Negatif
"Please dong, kalau ada gempa, responnya jangan lambat. Kalau bisa h- beberapa jam udah ada notif atau imbauan. Banyak orang yang ngadu kalau ada gempa selalu cek notif dari BMKG tapi gak ada. Setelah terjadi gempa, malah baru muncul notif.",Adinda Naurah,1,2024-04-22 02:16:14,InfoBMKG,Negatif
"Saya baru download (21/04/24-jam 07 kurang) awalnya karena penasaran dari ulasan² tentang akurasi wilayah maupun prediksi cuaca. Ternyata benar... Saya di kec. cidadap, kota bandung, tapi dalam pengaturan berbasis GPS, di app.bmkg, perangkat saya masuk di kec. cibeunying kaler. Dalam radar cuaca, lolasi saya malah di purwakarta Padahal akurasi perangkat di google map hanya selisih tidak lebih dari 50-70 meter. Kalau seperti ini, akurasi bmkg tentang data cuacanya bagaimana ? 🤔🤔🤔",BONO saja,3,2024-04-21 00:32:16,InfoBMKG,Netral
"Ketika muncul notifikasi, kita klik tidak langsung buka aplikasinya. Harus manual buka aplikasinya. Peta yang ada jugavperlu upgrade biar lebih detail. Kalau bisa ada pilihan foto satelit juga biar lebih detail.",Adi S,3,2024-04-19 20:07:38,InfoBMKG,Netral
👍🏻,Agung PS,5,2024-04-19 16:24:21,InfoBMKG,Positif
"Sangat membantu, tentang info adanya gempa/cuaca",R̶e̶n̶d̶y̶ D̶M̶X̶,5,2024-04-17 14:26:12,InfoBMKG,Positif
Aplikasi sangat berguna sekali.. kalau pun ada masalah di aplikasi ny..harap maklum saja lah.. tidak ada yang sempurna di dunia ini..setidak ny sebagai pengguna aplikasi sudah menambah informasi dan sedikit pengetahuan.,Ervan Putra,5,2024-04-17 13:15:55,InfoBMKG,Positif
Terimakasih bisa membantu kita,MARZUKI AMIN,5,2024-04-17 04:23:00,InfoBMKG,Positif
Informasinya akurat,rie barkah,5,2024-04-17 04:19:46,InfoBMKG,Positif
Aplikasinya sangat bagus Dan berguna,Rizal Rizal,5,2024-04-16 16:58:34,InfoBMKG,Positif
Ramalan cuacanya lumayan akurat. Tapi notifnya kadang cuma muncul 10 menit sebelum hujan. Dan untuk ramalan cuacanya tidak per jam. Per tiga jam. Jadi kadang susah untuk mengetahui ramalan cuaca di jam tertentu. Dan satu lagi ketika mau masuk ke aplikasi loadingnya lama banget kadang malah sampai connection time out. Padahal jaringan lancar dan apk ramalan cuaca lain bisa kebuka,ArBen Alputra,3,2024-04-16 03:08:43,InfoBMKG,Netral
Sangat membantu 👍,Sang pelautt Pnd,5,2024-04-15 13:08:23,InfoBMKG,Positif
Oke bagus 👍,Dayay Coffee,5,2024-04-14 15:47:49,InfoBMKG,Positif
Sangat membantu,Dedi Suhendro,5,2024-04-12 00:48:18,InfoBMKG,Positif
"Gambar maps peringatan dini cuaca nggak bisa di zoom, terlalu kecil",Bervian Sonny,3,2024-04-10 08:24:40,InfoBMKG,Netral
Ketika ada notifikasi gempa atau prediksi cuaca kenapa di klik tidak otomatis membuka aplikasi langsung? Kenapa harus buka aplikasi lagi? Merepotkan.,Dedik,3,2024-04-09 00:10:38,InfoBMKG,Netral
Bagus sekali....👍👍👍,Edi Sudarto,5,2024-04-08 01:38:46,InfoBMKG,Positif
klo buka tab gempabumi sering ngelag,Ramaditya D.,3,2024-04-07 21:08:53,InfoBMKG,Netral
𝐀𝐩𝐥𝐢𝐤𝐚𝐬𝐢 𝐲𝐠 𝐬𝐚𝐧𝐠𝐚𝐭 𝐦𝐞𝐦𝐛𝐚𝐧𝐭𝐮 𝐦𝐚𝐧𝐭𝐚𝐩,Basirun Talo,5,2024-04-05 15:28:25,InfoBMKG,Positif
"Tadi sore ada gempa disekitar bandara juanda sidoarjo, kok gak ada info yang muncul di apknya?",Kharisma Kharis,1,2024-04-05 11:35:00,InfoBMKG,Negatif
Sangat membantu,Rio agung,5,2024-04-04 13:41:15,InfoBMKG,Positif
Good,Ismail Moridu,5,2024-04-04 05:13:30,InfoBMKG,Positif
"min darkmode min pls, sakit mata saya lihat layar putih 😭",Gabriel Sagala,4,2024-04-03 19:57:10,InfoBMKG,Positif
"Aplikasi yang bener bener berguna, cuman ada beberapa masalah yang sebenarnya nggak terlalu penting tapi agak meresahkan saya, yaitu tombol menunya itu kalau nggak diklik beberapa kali nggak buka menunya :|",Watanabe You,5,2024-04-03 09:07:56,InfoBMKG,Positif
Hbis upgrade knp mlah g bisa d buka apk nya😢,Putri Sari,3,2024-04-02 21:32:40,InfoBMKG,Netral
Informasi cepat.,sumadiyana 61,5,2024-04-01 05:31:21,InfoBMKG,Positif
"Aplikasinya makin ngawur aja ini, masa realnya hujan keterangannya cerah berawan🤦🤦🤦🤦",Zn Abye,1,2024-03-31 22:04:14,InfoBMKG,Negatif
Gempa terus dan terus tapi ga apa bintang 5 ⭐🌟⭐🌟⭐,YEO 'os,5,2024-03-30 15:50:33,InfoBMKG,Positif
"titik gempa itu sebenarnya tidak cuma satu saja , namun seharusnya memperhatikan tampilan gempa kecil kecil , di detik yang sama di banyak tempat yang berbeda lokasi ratusan kilometer , ada yang di dasar laut di utara maluku , dan di detik yang sama juga terjadi di pulau jawa akibat gunung yang sedang mengeluarkan asap agak banyak di hari itu , dan tampilan nya bisa dibedakan dari warna merah , merah muda , merah tua , sehingga gempa itu bukan dari perasaan nya sendiri , badan nya goyang goyang",Onny Hardianto Publicist,5,2024-03-30 09:48:01,InfoBMKG,Positif
"Tidak bisa masuk ke halaman Beranda, makin kemari makin sering gangguan sekarang, walaupun terbuka cuaca tidak terupdate secara real time, mungkin aplikasinya sangat sulit untuk diupdate setiap saat bila ada perubahan iklim/cuaca ya.. Sehingga harus lewat pemberitahuan terus.. Kr bisa berkedok ""Ramalan"" Wkwkwk...",angky lintong,1,2024-03-30 03:54:25,InfoBMKG,Negatif
"Mohon tambahkan fitur widget cuaca untuk home screen, supaya satset, ga usah buka aplikasinya dulu 🙏",Taufik Mrf,5,2024-03-29 20:21:30,InfoBMKG,Positif
Tolong tambahkan alarm gempa bumi,Faiz Altaf,4,2024-03-29 18:31:44,InfoBMKG,Positif
Aplikasinya sangat membantu tapi terkadang mengalami BUG. Mohon perbaikannya. Terimakasih,UpNormal Traveller,2,2024-03-29 14:51:07,InfoBMKG,Negatif
"Laporan Gempa dan Cuaca, cukup akurat",Ahmad Soehardi,4,2024-03-28 09:01:37,InfoBMKG,Positif
Infox cepat dan tepat...,Awal Syahrani,5,2024-03-28 08:39:04,InfoBMKG,Positif
"BMKG jangan berbohong terus dong. BMKG sangat luar biasa tidak akurat. BMKG hanya penipu. Setiap hari katanya seharian hujan deras tapi kenyataannya panas luar biasa. Dari pagi sampai malam katanya hujan deras tapi kenyataannya panas, matahari bersinar sangat cerah tanpa awan apapun ☀️. BMKG tidak pernah benar selalu berbohong panas dibilang hujan & sebaliknya. Perbaikilah keakuratannya. Bawalah hujan ke Jawa Timur. Hujan di Jabar & Jateng hanya jadi bencana jatuhkan di Jatim jadi berkah",Sri Sulistijani,1,2024-03-28 06:47:41,InfoBMKG,Negatif
Sangat bermanfaat,Rosi Semarang Barat,5,2024-03-26 15:34:26,InfoBMKG,Positif
Peringatan dini cuaca sudah kembali normal. Semoga tidak ada kendala lagi.,Dimas Kusaryanto,5,2024-03-26 13:11:10,InfoBMKG,Positif
Yg terhormat pembuat apk bmg. Bagus se apkikasinya cuma.... Mbokya notifnya itu muncul pas mau ada gempa gitu loh kayak bmg orang jepang. Biar hp ini gk panas soale muncul notif mulu 🤦‍♀️ mau dimatiin notifnya kok parno..... Tolong ya...... Plis.... Banget....,Eka Putriasih,5,2024-03-26 08:08:59,InfoBMKG,Positif
Terima kasih mudah2an bermanfaat,Adbul Rasmid,5,2024-03-26 03:23:45,InfoBMKG,Positif
Sangat bermanfaat,Antoni Antoni,5,2024-03-26 02:49:18,InfoBMKG,Positif
otaku lebih,Fahimma Dinina,1,2024-03-26 00:19:14,InfoBMKG,Negatif
Saran saja Lebih baik tambah notifikasi suara akan terjadinya gempa.soalnya lagi banyak gempa,S qurrasyiq,5,2024-03-26 00:08:52,InfoBMKG,Positif
sangat membantu untuk antisipasi mengurangi dampak bencana..dan meminimalisir korban harta dan jiwa,Desrianti Tanjung,5,2024-03-25 21:52:56,InfoBMKG,Positif
tidak akutat terpaksa q uninstal,Irwan Kepahiang,1,2024-03-25 12:38:29,InfoBMKG,Negatif
"Kok ngak akurat ya perkiraan cuacanaya, lebih akurat notif yg bawaan dari hape.",Muhammad Masruchan,3,2024-03-25 06:04:56,InfoBMKG,Netral
"Bagus, sangat membantu.Semoga ke depannya menjadi lebih baik",IRWAN Bogell,4,2024-03-25 01:25:30,InfoBMKG,Positif
"Beresin bugnya dong, masa buka app nya gabisa gegara bug? Ampe di FC mlu sm samsungnya tuuu",Lisa Rutherford,2,2024-03-24 23:36:32,InfoBMKG,Negatif
Sangat membantu..,saifull hadi,5,2024-03-24 20:48:41,InfoBMKG,Positif
Ok,Ashal Ashal,5,2024-03-24 15:34:39,InfoBMKG,Positif
"App yg akurat dan bermanfaat membantu Rakyat Indonesia dalam mengetahui Cuaca keadaan Alam, agar dapat selalu Bersyukur dan menjaga Alam tetap Lestari.",Hajir,5,2024-03-24 12:48:51,InfoBMKG,Positif
Sangat baik jaringannya .,Laurentius Hasamoni,5,2024-03-24 12:41:44,InfoBMKG,Positif
"Kenapa ya sekarang kok notif nya suka telat, biasanya notif sama kejadian suka sinkron",Afifatul Azizah,3,2024-03-24 11:26:07,InfoBMKG,Netral
Good,MEDAN MARKET,5,2024-03-24 10:59:16,InfoBMKG,Positif
"Coba bisa di tingkatkan lagi, Tambahkan fungsi alarm suara peringatan jika terjadi gempa bumi, kalau hanya notif biasa gak ngaruh mesti buka aplikasi dlu baru tau kalo ada gempa",APC Agency Pertukangan Center,4,2024-03-24 05:03:59,InfoBMKG,Positif
"Keren app nya, semoga bisa ada widget",Meylani Feb,5,2024-03-24 04:28:25,InfoBMKG,Positif
sangat membantu sekali untuk informasi geologi dan cuaca,sulhan azhar,4,2024-03-24 03:35:33,InfoBMKG,Positif
"Untuk developer, aplikasi ini tidak bisa bekerja jika DNS adsense guard di ponsel aktif🙏",Ahmad Rafi (F*),5,2024-03-24 03:22:46,InfoBMKG,Positif
Assalamualaaikum salaaam,Boboi Boy,4,2024-03-23 17:14:22,InfoBMKG,Positif
bagus,Kahar Uddin,5,2024-03-23 13:40:29,InfoBMKG,Positif
Kurang akurat,Muhamad Toha,4,2024-03-23 13:38:26,InfoBMKG,Positif
"Kenapa punya saya berhenti di awal ya, nda buka² aplikasi nya",Ranu Hendra,3,2024-03-23 12:30:09,InfoBMKG,Netral
App BMKG semakin di upload makin susah untuk buka satelit cuaca aja loading mulu untuk buka yg lain bisa kenapa buka satelit cuaca susah.,Hanny Alfarizi,3,2024-03-23 12:15:38,InfoBMKG,Netral
Bisa gak bmkg memberi informasi gempa bumi sebelum terjadi?,Jefri Au,5,2024-03-23 11:39:40,InfoBMKG,Positif
Add,Suwadi 3676,5,2024-03-23 01:47:50,InfoBMKG,Positif
"Utk bmkg update gempa harus benar.. Sidoarjo kmrn tgl 23/03/24 juga merasakan gempa dan itu kekuatannya juga seperti 7. Kok cuman SBY saja yg kena,Sidoarjo juga merasakan gempa. Update yang benar. Lah🙏🏻🙏🏻",Ai Lin,2,2024-03-23 00:52:08,InfoBMKG,Negatif
Kalo da alarm sblm gempa / stunami lebih bagus lagi kyk di jepang,Khansa Chanel,5,2024-03-22 17:09:04,InfoBMKG,Positif
Terimakasih atas 🙏🙏🙏🙏 membantu 😭,Mali44k_,5,2024-03-22 14:35:39,InfoBMKG,Positif
Mantab,perth prthiwi,5,2024-03-22 14:30:24,InfoBMKG,Positif
"Tolong Developer tambahin fitur Peringatan Darurat Gempa Bumi diHandphone agar bisa bunyi sendiri/bergetar ketika ada Gempa Bumi diwilayah yang terkena, seperti negara² lain",mobile legends,5,2024-03-22 11:19:10,InfoBMKG,Positif
Tolong ditambah menu tersendiri untuk mitigasi jika terjadi gempa bumi atau bencana alam yang lain 🙏🏻,Iwan Nds,5,2024-03-22 10:48:07,InfoBMKG,Positif
Saya coba dlu kalau benar membantu saya kasih bintang lima,Muhammad Hairullah,4,2024-03-22 10:17:26,InfoBMKG,Positif
Membantu banget,Aldo Prince yuwana,5,2024-03-22 09:51:59,InfoBMKG,Positif
Nice good apk,Masudi Masudi,5,2024-03-22 09:41:42,InfoBMKG,Positif
Akurat,pardhi thok,5,2024-03-22 09:27:54,InfoBMKG,Positif
Oke,Supriyono Supri,1,2024-03-22 09:21:37,InfoBMKG,Negatif
"aplikasi bagus, kalo bisa nih aplikasi dapat disematkan ke aplikasi bawaan ponsel resmi di indonesia,, jadi tiap beli dah pasti punya ini aplikasi, sama peringatan dini muncul teratas untuk jarak 10-50km dari tempat kejadian, bair terasa sepwrti peringatan dini gempa jepang hanya orang disekitar dampak kejadian yang dapat.",Muhammad Ridwan,5,2024-03-22 09:21:02,InfoBMKG,Positif
Bagis,Jalan Jalan Sore,5,2024-03-22 09:20:17,InfoBMKG,Positif
sangat bagus.. untuk info akurat.. mohon diupdate terus sampe ada Warning Bahaya utk lokasi terdekat.. biar bs terkoordinasi dengan baik dan pasti mengurangi berita2 yg g jelas,Nanang Dwi w,5,2024-03-22 09:18:51,InfoBMKG,Positif
Kelamaan kirim notifikasinya,Romeo Jr,3,2024-03-22 09:18:01,InfoBMKG,Netral
Ok,All Creative,5,2024-03-22 09:01:31,InfoBMKG,Positif
Sangat membatu semoga lebih baik lagi sukses terus bmkg,Setio Suwito,5,2024-03-22 09:01:15,InfoBMKG,Positif
Kalsel kena gempa,Ring finansial Ring,4,2024-03-22 09:01:10,InfoBMKG,Positif
Sy akan menggunakan aplikasi ini juga harus bisa,Moh Faiq Ghafur Amt Pmk,5,2024-03-22 08:59:34,InfoBMKG,Positif
"Sebenernya ini aplikasi bagus namun, notif selalu keluar setelah kejadian, tidak sesuai dengn namanya yg ""peringatan sebelum gempa""",Vincent Jopiter,3,2024-03-22 08:59:14,InfoBMKG,Netral
Ngefrezze ga bisa di buka,ART SAS,1,2024-03-22 07:24:50,InfoBMKG,Negatif
Sangat bagus untuk kehidupan manusia,Endra Andiantono,5,2024-03-22 06:34:49,InfoBMKG,Positif
Bagus bngt,Iswanto Wanto,5,2024-03-22 05:33:39,InfoBMKG,Positif
Bagus real time nya benar,Arya Al abqari firmansyah ali,5,2024-03-22 04:38:05,InfoBMKG,Positif
sangat membantu,yb wawan,5,2024-03-22 04:34:51,InfoBMKG,Positif
Ujan di bilang cerah Ga sesuai dengan cuaca ya,Herman Suherman,1,2024-03-22 02:03:07,InfoBMKG,Negatif
Informatif & mudah digunakan,purna nugraha,5,2024-03-21 12:41:46,InfoBMKG,Positif
Bagus lebih akurat dari google. Tapi pengen ada widget layarnya,Abu Sekam,5,2024-03-21 01:14:15,InfoBMKG,Positif
membantu kalau mau bepergian,Han Hanny,4,2024-03-20 22:46:57,InfoBMKG,Positif
👍👍👍👍👍👍,Aulia Nanda (Aulia),5,2024-03-20 20:06:19,InfoBMKG,Positif
Ok,nelayan flotim,5,2024-03-20 14:07:03,InfoBMKG,Positif
Markotop Banget,Dista Dd,4,2024-03-20 09:53:22,InfoBMKG,Positif
Aplikasi yg sangat membantu,H451M Fishing,5,2024-03-19 15:54:17,InfoBMKG,Positif
Aplikasi nya berguna lop yu bmkg❤️,018_Nawla Khairun Nisa,5,2024-03-19 12:07:20,InfoBMKG,Positif
semoga ada update tambahan widget biar bisa liat langsung info cuacanya,Dea Febe Anjani,4,2024-03-18 07:23:44,InfoBMKG,Positif
Terima kasih😇,RONI UMBU MUDA,5,2024-03-18 06:42:05,InfoBMKG,Positif
Guss baguss,Dini Sari Siregar,5,2024-03-18 03:27:58,InfoBMKG,Positif
Terima kasih atas informasinya,Bq Sahinun,5,2024-03-18 02:38:31,InfoBMKG,Positif
Good,ANANDA PUTRA ASWINABAWA,5,2024-03-17 20:20:45,InfoBMKG,Positif
Min klo boleh saran untuk radar hujan maps dibuat seperti google maps jangan dibuat peta hitam. Terimakasih,Aldi Prasetyo,5,2024-03-17 16:55:20,InfoBMKG,Positif
Jadi gini..,Lyandra Leon,5,2024-03-17 16:52:13,InfoBMKG,Positif
Tempat saya baru saja terjadi gempa tp tdk ada info di aplikasinya. Payah,Inten Widi,3,2024-03-17 16:22:06,InfoBMKG,Netral
Oke,Reky Sudy,4,2024-03-17 12:54:21,InfoBMKG,Positif
Dukungan BMKG Indonesia 6 Dunia preode 1 interaksi alam indonesia,Sunarto 81,5,2024-03-17 12:47:44,InfoBMKG,Positif
Sangat penting buat peringatan bencana,Workshop Shavan,5,2024-03-17 11:37:13,InfoBMKG,Positif
buat cek cuaca bmkg dan potensi hujam,Amat Nurhoman,5,2024-03-17 10:37:39,InfoBMKG,Positif
